User,Score,Comment
GamerBr123,4,"O jogo ta muito lagado, impossivel jogar assim. The FPS drops are insane."
NoobSlayer,3,"bug atras de bug... arrumem logo plsss. Disappointing release."
ProPlayer99,8,"mt bom o game, mas os graficos poderiam melhorar. Good gameplay loop."
AnaClara,2,"o novo update quebrou o jogo inteiro, crasha toda hora no PC."
DarkKnight,1,"pqp q jogo p2w lixo. Pay to win ruins everything."
RPGfan,7,"eu amo a historia mas a gameplay ta bem travada. Needs polish."
CasualGamer,2,"muito ruim. n recomendo. Terrible mechanics."
Hater1,1,"aff vcs so ligam pra dinheiro msm. Cash grab."
LoverBoy,10,"pft, amei d+ a nova expansao. Masterpiece!"
TryHard,5,"cade o balanceamento das classes?? op dmais. The meta is broken."
Grinder,4,"xp muito dificil de conseguir aff. Too much grind."
Error404,2,"n consigo logar, da erro 404 connection timeout."
Winner,9,"gg wp jogaço. Best multiplayer experience."
SoloPlayer,3,"tem bot dms nas partidas ranqueadas. Fix the matchmaking."
ConsolePeasant,8,"pfv lancem pra console tbm. Waiting for PS5 port."
Bored,5,"achei meio meh. sla nao me prendeu. Very average."
Looter,2,"drop rate de itens ta ridiculo. RNG is unfair."
Raider,1,"servidor caiu no meio da raid. Server stability is a joke."
SkinBuyer,3,"skin mt cara ta loco. Microtransactions are absurd."
GraphicsWhore,9,"mto brabo o jogo, graficos pfts. Stunning visuals."
Laggy,2,"fps ta caindo do nada. Unplayable framerate."
LostGuy,4,"como q joga isso? q tutorial confuso. Bad UX/UI."
Nerfed,1,"nerfaram meu main, desinstalando agr. Worst patch ever."
DeadGame,2,"jogo ta morto rip. No playerbase."
Toxic,1,"comunidade mt toxica, ngm ajuda. Ban the trolls."
EventLover,7,"event novo é mo legalzinho. Fun seasonal content."
Movement,6,"a movimentacao do boneco ta estranha. Clunky controls."
Fanboy,10,"q jogo pika mano seloco. GOTY without a doubt."
StoryTeller,4,"historia mt cliche. The plot is very predictable."
Confused,2,"n sei pq tanta gente joga essa porcaria. Overrated."
CoopGamer,8,"mto bom pra jogar com os amigos. Co-op is really fun."
ServerDown,2,"arruma os servers pls ta caindo direto. Disconnected again."
MobileUser,3,"gasta bateria do cll td mt rapido. Needs optimization."
AccountIssue,1,"pq nao consigo vincular minha conta?? Support is useless."
Matchmaking,2,"matchmaking lixo so caio com nivel alto. Unfair matchmaking."
Repetitive,4,"q saco d jogo sempre a msm coisa. Very repetitive gameplay."
MapLover,7,"adorei os novos mapas, porem muito lag. Great level design."
P2W,1,"pay to win descarado. Don't waste your money."
Perfectionist,10,"jogo otimo, 10/10. Flawless execution."
SoundLover,9,"slk q trilha sonora perfeita. The soundtrack is amazing."
AverageJoe,5,"jogo ok. Not great, not terrible."
